Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
06/01/2021,22,IA,"3,326,855","185,000","1,393,680","1,748,175",0,"105,445","124,309","137,007","601,651","2,850,889","2,850,870","2,774,943","940,774","114,470","1,247,140","1,489,152",127,"138,503","62,010","45,749","30,744","90,747","36,810","29,711","24,226","90,359","106,524","114,278","170,136","2,848,128","1,556,439",49.3,"1,556,397",58.2,"1,499,451",61.8,"483,711",87.5,"1,385,346",43.9,"1,385,335",51.8,"1,367,046",56.3,"461,695",83.5,"112,263","596,371","676,637",75,"112,261","596,365","676,634",75,"112,209","596,266","658,496",75,"10,165","247,238","204,241",51,"47,117","24,794","15,712","6,611"
06/01/2021,22,MD,"7,936,880","436,000","3,101,680","4,399,200",0,"131,282","153,729","168,476","827,279","6,163,129","6,162,878","5,936,272","1,578,695","238,964","2,497,291","3,422,007","4,867","193,466","93,331","74,049","26,086","120,801","54,872","44,856","21,073","101,943","119,369","126,009","164,551","6,199,175","3,483,007",57.6,"3,482,724",67.5,"3,311,188",70.3,"850,550",88.7,"2,915,133",48.2,"2,915,066",56.5,"2,861,372",60.7,"783,716",81.7,"231,996","1,146,451","1,535,278","1,408","231,973","1,146,424","1,535,261","1,408","231,885","1,146,228","1,481,859","1,400","45,758","382,042","355,415",501,"71,369","37,838","28,510","5,021"
06/01/2021,22,MT,"1,085,415","69,100","481,040","535,275",0,"101,557","118,289","129,187","525,785","868,449","868,357","848,774","311,668","31,336","400,607","436,236",270,"21,388","10,569","7,189","3,630","13,784","6,581","4,640","2,563","81,256","94,634","101,022","150,975","869,307","484,289",45.3,"484,219",52.8,"469,628",55.9,"166,708",80.8,"409,758",38.3,"409,741",44.7,"404,822",48.2,"152,193",73.7,"30,622","183,735","195,319",82,"30,619","183,722","195,318",82,"30,605","183,662","190,473",82,"6,837","73,786","71,526",44,"7,573","3,973","2,532","1,068"
06/01/2021,22,NE,"2,007,060","106,900","801,920","1,098,240",0,"103,756","124,091","137,627","642,346","1,705,003","1,704,770","1,657,197","526,030","61,631","692,730","947,552","3,090","59,254","26,577","22,765","9,912","38,887","16,887","15,124","6,876","88,141","105,401","113,636","168,352","1,712,654","938,657",48.5,"938,470",58,"903,409",61.9,"269,825",86.4,"820,629",42.4,"820,585",50.7,"807,869",55.4,"252,328",80.8,"61,898","321,550","436,282",899,"61,885","321,533","436,268",899,"61,858","321,457","423,661",893,"4,800","122,515","124,395",618,"20,294","9,635","7,601","3,058"
06/01/2021,22,CT,"4,551,515","248,600","1,844,940","2,457,975",0,"127,662","146,542","160,386","722,183","4,044,620","4,043,097","3,886,151","1,129,707","157,172","1,603,607","2,283,473",368,"132,702","63,647","51,572","17,483","78,730","36,472","29,170","13,088","113,444","130,173","136,940","179,249","4,041,406","2,261,237",63.4,"2,260,078",72.8,"2,145,791",75.6,"588,590",93.4,"1,913,791",53.7,"1,913,398",61.6,"1,873,749",66,"543,892",86.3,"157,070","738,329","1,018,297",95,"157,002","738,132","1,018,169",95,"156,939","737,996","978,725",89,"16,091","214,516","313,259",26,"53,338","26,764","22,134","4,440"
06/01/2021,22,MS,"2,596,955","162,900","1,149,200","1,284,855",0,"87,259","102,996","114,023","533,592","1,769,527","1,769,456","1,751,366","662,491","51,193","836,798","880,647",889,"53,355","25,994","12,506","14,855","33,208","15,246","7,753","10,209","59,457","70,177","76,896","136,121","1,774,028","1,010,932",34,"1,010,864",40.1,"997,283",43.8,"364,153",74.8,"807,549",27.1,"807,532",32,"802,759",35.2,"316,654",65.1,"50,260","373,742","383,517",30,"50,253","373,738","383,511",30,"50,220","373,629","378,880",30,"13,341","168,138","135,164",11,"19,975","10,598","4,705","4,672"
06/01/2021,22,VA2,"6,239,605","520,400","2,985,500","2,733,705",0,0,0,0,0,"5,257,078","5,256,927","5,256,045","2,815,357","149,078","2,735,192","2,372,806",2,0,0,0,0,0,0,0,0,0,0,0,0,"5,257,078","2,783,472",0,"2,783,381",0,"2,782,843",0,"1,463,924",0,"2,618,525",0,"2,618,458",0,"2,618,099",0,"1,401,463",0,"148,776","1,320,234","1,149,514",1,"148,769","1,320,215","1,149,473",1,"148,752","1,320,190","1,149,156",1,"51,375","778,841","571,246",1,0,0,0,0
06/01/2021,22,IN,"6,437,880","422,000","2,556,580","3,459,300",0,"95,628","112,846","124,663","592,947","5,117,270","5,117,107","4,992,811","1,722,169","173,919","2,077,106","2,853,634","12,611","141,654","90,778","36,837","14,039","85,246","52,443","22,244","10,559","76,012","89,695","96,680","158,617","5,091,178","2,819,004",41.9,"2,818,837",49.4,"2,728,582",52.8,"879,821",81,"2,390,812",35.5,"2,390,779",41.9,"2,360,997",45.7,"831,992",76.6,"171,321","949,586","1,265,782","4,123","171,307","949,577","1,265,772","4,123","171,210","949,442","1,236,226","4,119","21,143","414,927","393,553","2,369","56,035","38,064","14,476","3,495"
06/01/2021,22,RP,"24,600","3,800","20,800",0,0,"137,376","160,868","176,129","808,147","24,225","24,225","24,225","3,043","1,632","22,592",1,0,0,0,0,0,0,0,0,0,"135,282","158,416","173,445","99,967","24,416","13,703",76.5,"13,703",89.6,"13,702",98.1,"1,660",54.5,"12,337",68.9,"12,337",80.7,"12,337",88.3,"1,601",52.6,"1,630","10,687",20,0,"1,630","10,687",20,0,"1,630","10,687",20,0,176,"1,417",8,0,0,0,0,0
06/01/2021,22,TN,"6,086,730","364,000","2,522,780","3,199,950",0,"89,128","104,304","114,431","532,339","4,858,223","4,857,702","4,771,932","1,681,511","140,663","2,040,162","2,668,453","8,945","108,137","56,324","30,745","21,068","71,347","35,008","20,104","16,235","71,139","83,243","89,713","147,063","4,769,059","2,681,462",39.3,"2,681,016",45.9,"2,617,682",49.2,"878,926",76.9,"2,173,313",31.8,"2,173,228",37.2,"2,151,982",40.5,"772,523",67.6,"136,855","888,209","1,145,601","2,648","136,821","888,195","1,145,564","2,648","136,715","887,965","1,124,661","2,641","24,517","390,987","355,355","1,664","36,708","21,316","10,511","4,881"
